t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1775476764706,8808,3760,-13600,281,-1176,-476,click,day2_me
1775476764706,9116,3376,-13376,222,-1279,-764,click,day2_me
1775476764706,9392,3348,-13568,278,-2061,-1084,click,day2_me
1775476764707,8408,3360,-14248,-213,-1936,-1192,click,day2_me
1775476764708,7240,3388,-14592,-848,-513,-656,click,day2_me
1775476764708,8200,3772,-14212,-937,-148,-929,click,day2_me
1775476764708,8440,4124,-14340,-1432,-357,-914,click,day2_me
1775476764709,8604,4584,-14120,-1734,-525,-1056,click,day2_me
1775476764709,8684,5148,-14112,-1378,-682,-917,click,day2_me
1775476764710,8956,5192,-13996,218,-849,-695,click,day2_me
1775476764766,9064,4964,-13868,481,-1099,-694,click,day2_me
1775476764766,9232,4948,-13920,126,-1568,-726,click,day2_me
1775476764766,9080,4948,-13976,-14,-2035,-746,click,day2_me
1775476764767,8184,5076,-14588,222,-1380,-317,click,day2_me
1775476764886,7360,4964,-15084,104,307,398,click,day2_me
1775476764886,7968,4884,-14584,569,897,631,click,day2_me
1775476764886,8668,4616,-14360,1017,387,334,click,day2_me
1775476764887,8516,3984,-14396,755,-154,340,click,day2_me
1775476764887,8544,3980,-14416,412,-341,98,click,day2_me
1775476764888,8556,3988,-14552,42,-550,-19,click,day2_me
1775476770886,7128,4364,-14924,-333,-111,-45,click,day2_me
1775476770901,7212,4336,-14940,-5,99,30,click,day2_me
1775476770916,7312,4200,-14876,91,162,85,click,day2_me
1775476770931,7364,4036,-14872,81,210,126,click,day2_me
1775476770946,7384,3928,-14948,-40,172,138,click,day2_me
1775476770946,7476,3920,-14860,-79,78,123,click,day2_me
1775476770961,7164,4148,-15000,-257,-3,-5,click,day2_me
1775476770976,7028,4276,-15056,-70,83,8,click,day2_me
1775476770991,6956,4232,-14920,189,278,65,click,day2_me
1775476771006,7300,4088,-14728,277,331,69,click,day2_me
1775476771006,7472,3888,-14756,259,227,81,click,day2_me
1775476771021,7520,3808,-14776,-119,105,-102,click,day2_me
1775476771036,7456,3984,-14784,-288,-56,-121,click,day2_me
1775476771051,7356,4140,-14800,-213,-55,-125,click,day2_me
1775476771066,7380,4104,-14816,-39,-94,-137,click,day2_me
1775476771081,7180,4200,-14964,-145,22,-70,click,day2_me
1775476771081,7352,4184,-14976,-168,15,-43,click,day2_me
1775476771096,7344,4328,-15096,-169,-109,-3,click,day2_me
1775476771111,7120,4416,-15104,-138,85,67,click,day2_me
1775476771126,7200,4424,-15236,157,366,154,click,day2_me
1775476771140,7184,4372,-15024,372,543,149,click,day2_me
1775476771155,7340,4224,-14952,513,381,83,click,day2_me
1775476771156,7312,3968,-14964,466,356,105,click,day2_me
1775476771171,7472,3844,-14984,250,346,116,click,day2_me
1775476771186,7420,4008,-14852,65,396,52,click,day2_me
1775476771201,7644,3808,-14628,175,265,-57,click,day2_me
1775476771216,7572,3844,-14792,-103,165,-47,click,day2_me
1775476771216,7388,4060,-14740,-356,246,-83,click,day2_me
1775476771231,7240,4320,-14864,31,748,24,click,day2_me
1775476771246,7488,4140,-14720,370,651,38,click,day2_me
1775476771261,7608,3896,-14636,94,335,-10,click,day2_me
1775476771276,7740,3884,-14632,-164,-17,-32,click,day2_me
1775476771291,7476,3908,-14680,-360,-235,-228,click,day2_me
1775476771293,6924,4108,-15112,-518,557,4,click,day2_me
1775476771306,7212,4220,-14828,-433,753,-157,click,day2_me
1775476771321,7472,4264,-14672,-415,674,-26,click,day2_me
1775476771336,7388,4380,-14780,-563,405,-83,click,day2_me
1775476771351,7348,4616,-14756,-823,717,113,click,day2_me
1775476771351,7528,4544,-14460,146,613,-98,click,day2_me
1775476771366,7768,4376,-14440,527,195,-6,click,day2_me
1775476771381,7792,4004,-14544,383,-341,-17,click,day2_me
1775476771396,7784,3800,-14556,-403,-877,-83,click,day2_me
1775476771411,7448,4132,-14608,-927,-975,-194,click,day2_me
1775476771426,7288,4372,-14504,-755,-766,-122,click,day2_me
1775476771426,7968,4132,-14236,-197,-1252,-385,click,day2_me
