t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1775463552231,-344,1644,-16608,497,-1419,63,double_click,day1_me
1775463552233,-796,2004,-16984,-496,-2448,-288,double_click,day1_me
1775463552246,-1188,2260,-17316,-801,-2127,-393,double_click,day1_me
1775463552262,-1704,2668,-17388,-926,-1488,-93,double_click,day1_me
1775463552277,-1884,2756,-17384,-592,-829,55,double_click,day1_me
1775463552292,-1652,2896,-17336,279,-598,37,double_click,day1_me
1775463552306,-1308,2756,-17028,672,-943,-58,double_click,day1_me
1775463552307,-1204,2480,-16960,749,-1362,-249,double_click,day1_me
1775463552321,-1112,2620,-16792,598,-1943,-245,double_click,day1_me
1775463552336,-696,2380,-16160,1504,-3567,-536,double_click,day1_me
1775463552352,-704,2124,-16264,1444,-4805,-721,double_click,day1_me
1775463552366,-1444,2092,-16912,828,-5148,-781,double_click,day1_me
1775463552381,-2664,2108,-17712,113,-3533,-524,double_click,day1_me
1775463552381,-2344,2284,-17112,-374,-250,-77,double_click,day1_me
1775463552397,-1364,2500,-17076,-210,-1105,-316,double_click,day1_me
1775463552411,-1544,2624,-16796,227,-2254,-680,double_click,day1_me
1775463557018,-5096,2260,-16340,-476,-211,-23,double_click,day1_me
1775463557042,-5104,2544,-16516,-392,-352,-134,double_click,day1_me
1775463557046,-5244,2624,-16628,-119,-244,-131,double_click,day1_me
1775463557062,-5312,2536,-16472,452,-8,-96,double_click,day1_me
1775463557062,-5168,1844,-16588,630,-66,-32,double_click,day1_me
1775463557076,-5216,1664,-16528,45,-43,-30,double_click,day1_me
1775463557091,-5320,1816,-16512,-604,56,-17,double_click,day1_me
1775463557106,-5316,2148,-16472,-869,48,-54,double_click,day1_me
1775463557121,-5212,2652,-16420,49,-67,-239,double_click,day1_me
1775463557137,-5132,2432,-16220,437,-81,-221,double_click,day1_me
1775463557137,-5084,2232,-16328,448,-95,-169,double_click,day1_me
1775463557151,-5092,2056,-16268,157,-193,-104,double_click,day1_me
1775463557166,-5628,2220,-16808,-561,227,108,double_click,day1_me
1775463557181,-5840,2340,-16808,-558,1208,328,double_click,day1_me
1775463557196,-5528,2496,-16648,-126,1981,414,double_click,day1_me
1775463557212,-5004,2480,-16408,378,1912,415,double_click,day1_me
1775463557212,-4636,2032,-16456,233,445,15,double_click,day1_me
1775463557227,-4856,2080,-16588,-377,65,0,double_click,day1_me
1775463557241,-5064,2336,-16616,-424,-133,14,double_click,day1_me
1775463557257,-5036,2432,-16572,-238,-288,-77,double_click,day1_me
1775463557272,-5336,2320,-16808,71,-191,20,double_click,day1_me
1775463557287,-5544,2136,-17172,-27,384,41,double_click,day1_me
1775463557287,-6188,2308,-17536,-417,1419,281,double_click,day1_me
1775463557302,-6696,2496,-18484,-487,3967,461,double_click,day1_me
1775463557317,-8320,2820,-18256,-784,13246,3115,double_click,day1_me
1775463557331,-5580,2572,-17608,956,15104,2894,double_click,day1_me
1775463557347,-4296,1900,-18484,402,14907,1599,double_click,day1_me
1775463557362,-6200,1340,-19848,-2828,18891,2009,double_click,day1_me
1775463557362,-5736,3144,-19040,-5412,30504,5467,double_click,day1_me
1775463557376,-5844,4084,-19644,-4322,32767,6572,double_click,day1_me
1775463557392,-5344,3872,-17480,-1597,32767,8686,double_click,day1_me
1775463557408,-396,3660,-15956,830,32767,9399,double_click,day1_me
1775463557421,3992,2540,-14068,2995,19951,5513,double_click,day1_me
1775463557436,4128,1772,-14040,3821,13687,4152,double_click,day1_me
1775463557436,3964,256,-14284,3867,8862,2763,double_click,day1_me
1775463557451,3628,-928,-14616,2165,5620,614,double_click,day1_me
