t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1771228717710,-4832,-1848,-16144,-198,-39,-20,idle,day1_me
1771228717711,-4840,-1880,-16296,-137,-87,37,idle,day1_me
1771228717711,-4840,-1960,-16316,-157,-63,112,idle,day1_me
1771228717713,-5020,-1944,-16316,-205,7,111,idle,day1_me
1771228717713,-4856,-1928,-16340,-152,23,80,idle,day1_me
1771228717713,-4972,-1932,-16368,-36,-39,92,idle,day1_me
1771228717713,-4952,-1964,-16288,-1,-19,69,idle,day1_me
1771228717770,-4908,-1988,-16212,24,26,55,idle,day1_me
1771228717770,-4936,-1868,-16160,122,-22,21,idle,day1_me
1771228717771,-4888,-1908,-16256,143,-39,28,idle,day1_me
1771228717772,-4848,-1912,-16336,162,-51,26,idle,day1_me
1771228717773,-4888,-1980,-16256,131,-149,94,idle,day1_me
1771228717832,-4920,-1976,-16324,72,-216,160,idle,day1_me
1771228717832,-5260,-2008,-16500,80,47,102,idle,day1_me
1771228717832,-5188,-2024,-16560,67,219,80,idle,day1_me
1771228717833,-5204,-1772,-16560,100,424,-10,idle,day1_me
1771228717833,-5064,-1788,-16344,229,528,51,idle,day1_me
1771228717890,-5052,-1892,-16228,260,471,121,idle,day1_me
1771228717890,-4756,-1772,-16292,-19,327,192,idle,day1_me
1771228717891,-4832,-1464,-16396,134,65,332,idle,day1_me
1771228717950,-4596,-1428,-15644,1180,289,82,idle,day1_me
1771228717951,-4456,-2204,-16056,437,-49,252,idle,day1_me
1771228717951,-4572,-1856,-16132,-576,-401,436,idle,day1_me
1771228717952,-5016,-1756,-16444,336,-250,477,idle,day1_me
1771228723396,-5996,-1624,-16152,213,107,-66,idle,day1_me
1771228723410,-6160,-1744,-16252,362,657,-60,idle,day1_me
1771228723425,-5604,-1952,-15924,291,970,28,idle,day1_me
1771228723426,-5604,-2008,-15848,135,523,77,idle,day1_me
1771228723440,-5680,-1860,-15768,145,161,142,idle,day1_me
1771228723455,-5684,-1908,-15868,261,52,118,idle,day1_me
1771228723470,-5756,-2012,-15948,343,43,129,idle,day1_me
1771228723485,-5640,-2156,-15952,188,41,99,idle,day1_me
1771228723485,-5644,-2096,-16008,168,52,124,idle,day1_me
1771228723501,-5580,-2236,-15876,155,-23,194,idle,day1_me
1771228723515,-5532,-2284,-15892,-7,-145,155,idle,day1_me
1771228723530,-5820,-2152,-16040,-24,-332,88,idle,day1_me
1771228723545,-5816,-2100,-16080,130,-288,21,idle,day1_me
1771228723560,-5892,-2100,-16052,158,-199,-22,idle,day1_me
1771228723563,-5900,-2120,-16100,146,-129,42,idle,day1_me
1771228723575,-5824,-2112,-16064,81,17,29,idle,day1_me
1771228723590,-5792,-2092,-15908,194,42,27,idle,day1_me
1771228723605,-5692,-2228,-15924,235,114,-13,idle,day1_me
1771228723620,-5608,-2304,-15732,206,-64,-67,idle,day1_me
1771228723620,-5500,-2304,-15740,88,-209,-52,idle,day1_me
1771228723635,-5720,-2136,-16076,2,-464,115,idle,day1_me
1771228723650,-5884,-2256,-16264,-74,-469,122,idle,day1_me
1771228723665,-6024,-2216,-16324,-84,-342,44,idle,day1_me
1771228723680,-5992,-2260,-16300,-88,-136,67,idle,day1_me
1771228723681,-6020,-2152,-16268,61,35,19,idle,day1_me
1771228723695,-5836,-2184,-16012,196,229,-144,idle,day1_me
1771228723711,-5724,-2148,-16008,210,202,-44,idle,day1_me
1771228723725,-5636,-2304,-16020,100,68,11,idle,day1_me
1771228723740,-5760,-2404,-15944,-107,-37,75,idle,day1_me
1771228723741,-5720,-2412,-15916,-237,-106,67,idle,day1_me
1771228723755,-5780,-2220,-16064,-19,-168,-61,idle,day1_me
1771228723770,-5844,-2212,-16084,67,-164,-107,idle,day1_me
1771228723785,-5900,-2220,-16072,37,-119,-146,idle,day1_me
1771228723800,-5944,-2280,-16044,1,-79,-71,idle,day1_me
1771228723815,-5932,-2196,-16048,-335,-47,49,idle,day1_me
1771228723815,-5908,-2164,-16204,-282,19,20,idle,day1_me
1771228723830,-5928,-2204,-16140,-156,30,-49,idle,day1_me
1771228723845,-5964,-2220,-16076,-64,113,-103,idle,day1_me
1771228723861,-5792,-2260,-15916,-35,189,-184,idle,day1_me
1771228723875,-5744,-2188,-15892,-138,112,-104,idle,day1_me
1771228723890,-5668,-2196,-15936,-201,73,-108,idle,day1_me
1771228723890,-5720,-2120,-15820,-210,61,-145,idle,day1_me
1771228723906,-5592,-2056,-15700,59,112,-148,idle,day1_me
1771228723920,-5600,-2236,-15640,15,52,-138,idle,day1_me
1771228723935,-5548,-2376,-15596,-173,-261,-82,idle,day1_me
1771228723950,-5676,-2252,-15764,-295,-429,-33,idle,day1_me
1771228723965,-5864,-2068,-16016,-90,-292,-222,idle,day1_me
