t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778655297748,-16276,348,-2236,-348,1093,-507,swipe_down,day2_me
1778655297748,-16320,460,-3204,362,951,185,swipe_down,day2_me
1778655297791,-16644,288,-3576,469,1382,311,swipe_down,day2_me
1778655297807,-16532,84,-3856,502,1671,347,swipe_down,day2_me
1778655297821,-16196,68,-3496,227,1111,848,swipe_down,day2_me
1778655297836,-16192,-60,-3244,-278,512,891,swipe_down,day2_me
1778655297851,-16208,140,-3288,-46,-70,589,swipe_down,day2_me
1778655297866,-16280,444,-3256,386,-455,647,swipe_down,day2_me
1778655297926,-16232,348,-3104,592,-754,753,swipe_down,day2_me
1778655297971,-16424,300,-2868,822,-270,626,swipe_down,day2_me
1778655297987,-16312,304,-3280,863,174,1171,swipe_down,day2_me
1778655298004,-16640,-96,-3524,859,744,1077,swipe_down,day2_me
1778655298005,-16748,-460,-3728,865,1831,654,swipe_down,day2_me
1778655298005,-16852,-520,-3832,688,2922,146,swipe_down,day2_me
1778655298005,-16840,-476,-3564,689,4084,-484,swipe_down,day2_me
1778655298016,-16336,-180,-3140,258,4638,-856,swipe_down,day2_me
1778655298016,-16112,92,-3048,38,4282,-844,swipe_down,day2_me
1778655298017,-16024,384,-3024,89,3505,-782,swipe_down,day2_me
1778655298017,-15752,608,-3324,73,2346,-225,swipe_down,day2_me
1778655298018,-15948,544,-3736,420,644,841,swipe_down,day2_me
1778655298018,-16244,164,-4156,614,283,1077,swipe_down,day2_me
1778655298019,-16624,-212,-4444,456,757,1170,swipe_down,day2_me
1778655298020,-16612,-248,-4756,246,1331,1039,swipe_down,day2_me
1778655298020,-17032,-492,-4808,332,2872,268,swipe_down,day2_me
1778655298021,-16820,-428,-4532,172,3772,-20,swipe_down,day2_me
1778655298021,-16596,-268,-4512,129,4011,-173,swipe_down,day2_me
1778655298022,-16568,-300,-5620,216,5519,-7,swipe_down,day2_me
1778655304151,-2316,2568,-17052,187,114,94,swipe_down,day2_me
1778655304151,-2244,2768,-17056,-328,103,12,swipe_down,day2_me
1778655304152,-2236,2876,-17024,-116,-1,-51,swipe_down,day2_me
1778655304152,-2324,2776,-17136,-48,-97,-119,swipe_down,day2_me
