t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778672268565,-6648,-2712,-15524,-49,444,1419,swipe_left,day2_me
1778672268579,-6832,-2980,-15576,-1,141,1775,swipe_left,day2_me
1778672268579,-6980,-3196,-15556,142,346,1813,swipe_left,day2_me
1778672268580,-7040,-3500,-15772,157,482,1731,swipe_left,day2_me
1778672268623,-6988,-3608,-15632,106,750,1589,swipe_left,day2_me
1778672268623,-6856,-3512,-15516,161,1299,1553,swipe_left,day2_me
1778672268623,-6576,-3584,-15492,184,1093,1508,swipe_left,day2_me
1778672268624,-6664,-3528,-15308,184,931,1516,swipe_left,day2_me
1778672268624,-6820,-3472,-15584,166,1066,1472,swipe_left,day2_me
1778672268683,-6560,-3168,-15580,109,1293,1582,swipe_left,day2_me
1778672268683,-6548,-3160,-15672,-48,1011,1702,swipe_left,day2_me
1778672268683,-6536,-3096,-15556,-346,847,1815,swipe_left,day2_me
1778672268683,-6624,-2828,-15784,-636,899,1746,swipe_left,day2_me
1778672268743,-6736,-1660,-15808,-229,1161,1791,swipe_left,day2_me
1778672268743,-6684,-1396,-15716,195,1127,1930,swipe_left,day2_me
1778672268743,-6576,-1272,-15888,506,784,2184,swipe_left,day2_me
1778672268743,-6948,-1040,-16216,767,625,2389,swipe_left,day2_me
1778672268744,-7504,-608,-16608,1227,1613,2844,swipe_left,day2_me
1778672268803,-7480,-284,-16788,1355,1890,3232,swipe_left,day2_me
1778672268804,-7440,60,-16952,1547,2185,3592,swipe_left,day2_me
1778672268805,-7532,672,-17056,1790,2505,3983,swipe_left,day2_me
1778672273845,-6856,-2508,-15572,-347,-62,-145,swipe_left,day2_me
1778672273846,-6916,-2372,-15816,-459,-8,-113,swipe_left,day2_me
1778672273847,-6788,-2304,-15776,-363,43,-74,swipe_left,day2_me
1778672273847,-6980,-2316,-15856,-84,103,-21,swipe_left,day2_me
1778672273849,-6952,-2496,-15648,60,100,-97,swipe_left,day2_me
1778672273902,-7008,-2624,-15612,83,28,-85,swipe_left,day2_me
1778672273903,-6920,-2648,-15636,112,6,-93,swipe_left,day2_me
1778672273963,-7056,-2696,-15528,15,-16,-200,swipe_left,day2_me
1778672274022,-7036,-2576,-15648,-298,1,-217,swipe_left,day2_me
1778672274082,-6992,-2432,-15688,-335,9,-119,swipe_left,day2_me
1778672274082,-6988,-2248,-15708,-122,-54,-123,swipe_left,day2_me
1778672274083,-6860,-2388,-15788,-18,-89,-127,swipe_left,day2_me
1778672274083,-7020,-2332,-15800,-46,178,-119,swipe_left,day2_me
1778672274084,-7032,-2400,-15672,105,344,-100,swipe_left,day2_me
1778672274085,-6832,-2532,-15372,232,353,-119,swipe_left,day2_me
1778672274085,-6716,-2760,-15296,86,68,-59,swipe_left,day2_me
1778672274086,-6812,-2808,-15408,-194,-150,-78,swipe_left,day2_me
1778672274086,-6976,-2672,-15648,-386,-124,-180,swipe_left,day2_me
1778672274087,-6992,-2396,-15620,-424,-42,-167,swipe_left,day2_me
1778672274087,-7012,-2280,-15764,-310,-50,-184,swipe_left,day2_me
1778672274088,-6920,-2176,-15796,-101,-78,-160,swipe_left,day2_me
1778672274089,-6944,-2224,-15700,136,-11,-80,swipe_left,day2_me
1778672274089,-6948,-2400,-15672,241,67,-46,swipe_left,day2_me
1778672274089,-7024,-2640,-15624,229,86,-82,swipe_left,day2_me
1778672274090,-6948,-2900,-15568,97,175,-82,swipe_left,day2_me
1778672274143,-7020,-2916,-15612,-171,190,-156,swipe_left,day2_me
1778672274143,-6864,-2660,-15396,-249,325,-274,swipe_left,day2_me
1778672274143,-6712,-2544,-15368,-383,60,-155,swipe_left,day2_me
1778672274203,-6796,-2472,-15420,-559,-212,-102,swipe_left,day2_me
1778672274203,-6836,-2312,-15672,-587,-250,-49,swipe_left,day2_me
1778672274203,-7056,-2392,-15812,-197,-41,-94,swipe_left,day2_me
1778672274204,-6948,-2544,-15908,-114,12,-108,swipe_left,day2_me
1778672274204,-6920,-2600,-15636,-24,95,-127,swipe_left,day2_me
1778672274205,-6784,-2804,-15496,95,79,-100,swipe_left,day2_me
1778672274263,-6648,-3220,-15328,-19,-161,-116,swipe_left,day2_me
1778672274263,-6892,-3812,-15148,-889,-296,-225,swipe_left,day2_me
1778672274264,-6864,-4136,-15076,-1464,-341,-131,swipe_left,day2_me
1778672274264,-6860,-4412,-15080,-2499,-499,-190,swipe_left,day2_me
1778672274265,-6980,-4700,-15404,-3582,-557,19,swipe_left,day2_me
1778672274323,-7204,-4604,-15640,-5034,-106,-242,swipe_left,day2_me
1778672274323,-7004,-4464,-15644,-5076,-137,-369,swipe_left,day2_me
1778672274338,-6988,-4096,-15576,-4463,-346,-510,swipe_left,day2_me
1778672274338,-7192,-4812,-15592,-3145,-945,-592,swipe_left,day2_me
1778672274338,-8128,-7516,-15860,-2615,-1047,-1963,swipe_left,day2_me
1778672274339,-8284,-8492,-15712,-3502,-549,-2761,swipe_left,day2_me
1778672274352,-8124,-8660,-15428,-4641,-296,-3342,swipe_left,day2_me
1778672274368,-8264,-9504,-14548,-6112,-574,-3934,swipe_left,day2_me
1778672274382,-8532,-10664,-14312,-7303,-832,-5143,swipe_left,day2_me
1778672274398,-8872,-10908,-14224,-8961,-547,-6255,swipe_left,day2_me
1778672274412,-9232,-10448,-14424,-10095,-267,-7642,swipe_left,day2_me
1778672274428,-9896,-8760,-14852,-8773,-277,-11354,swipe_left,day2_me
1778672274428,-9544,-8536,-14772,-8735,144,-12826,swipe_left,day2_me
1778672274442,-9168,-7984,-14792,-9274,-552,-13417,swipe_left,day2_me
1778672274457,-9884,-7180,-15432,-9527,-1155,-14063,swipe_left,day2_me
1778672274472,-10944,-6784,-15696,-8512,-122,-16382,swipe_left,day2_me
1778672274487,-11116,-6756,-15864,-8790,143,-17062,swipe_left,day2_me
1778672274502,-11324,-6424,-15636,-8814,420,-18058,swipe_left,day2_me
1778672274518,-11204,-6244,-14708,-7923,829,-20320,swipe_left,day2_me
1778672274518,-11152,-5828,-14448,-7657,183,-21327,swipe_left,day2_me
1778672274532,-11588,-5480,-14104,-7022,-203,-22173,swipe_left,day2_me
1778672274548,-11684,-5388,-14108,-6317,-536,-23443,swipe_left,day2_me
1778672274563,-11716,-4832,-13452,-6039,-828,-25357,swipe_left,day2_me
1778672274578,-11656,-4392,-13420,-6707,-1268,-25912,swipe_left,day2_me
1778672274593,-11972,-3844,-13712,-7368,-1770,-26371,swipe_left,day2_me
1778672274607,-12788,-1716,-14580,-6839,-2248,-27500,swipe_left,day2_me
1778672274623,-13084,-592,-14736,-5654,-1456,-27501,swipe_left,day2_me
1778672274623,-12500,92,-14212,-4089,-824,-27529,swipe_left,day2_me
1778672274637,-11796,-452,-13300,-2965,-1403,-26552,swipe_left,day2_me
1778672274653,-11920,-1756,-12820,-4794,-2139,-25896,swipe_left,day2_me
1778672274668,-12104,-1100,-12784,-6023,-1578,-25683,swipe_left,day2_me
1778672274682,-11740,-312,-12620,-6540,-1121,-25565,swipe_left,day2_me
1778672274698,-11240,-1356,-13240,-8531,-1540,-25785,swipe_left,day2_me
1778672274713,-11332,868,-13180,-10114,-1532,-23999,swipe_left,day2_me
1778672274713,-10768,2788,-13556,-9892,-1576,-24411,swipe_left,day2_me
1778672274728,-9848,5028,-13528,-8000,-1293,-23509,swipe_left,day2_me
1778672274743,-9424,5536,-13780,-6928,-1846,-21677,swipe_left,day2_me
1778672274759,-8760,5408,-13824,-5976,-2590,-20335,swipe_left,day2_me
1778672274772,-8716,5128,-14216,-5797,-3388,-19569,swipe_left,day2_me
1778672274787,-8896,5940,-15008,-7656,-2656,-16827,swipe_left,day2_me
1778672274788,-8556,6740,-15284,-7268,-2250,-15525,swipe_left,day2_me
1778672274802,-8420,7016,-15440,-5884,-2542,-13197,swipe_left,day2_me
1778672274817,-8564,6324,-15944,-4342,-2838,-11407,swipe_left,day2_me
1778672274832,-8892,4352,-16104,-2900,-1263,-10125,swipe_left,day2_me
1778672274847,-8208,4172,-15656,-2896,-747,-9246,swipe_left,day2_me
1778672274862,-7708,4028,-15688,-2644,-880,-8399,swipe_left,day2_me
1778672274877,-7360,3820,-15820,-2379,-1431,-7535,swipe_left,day2_me
1778672274878,-7812,3732,-17408,-2591,-1703,-5474,swipe_left,day2_me
1778672274892,-7940,3812,-17572,-1977,-863,-4329,swipe_left,day2_me
1778672274907,-7652,3364,-17404,-901,-73,-3382,swipe_left,day2_me
1778672274922,-7484,2484,-16896,-339,304,-2730,swipe_left,day2_me
1778672274937,-6980,1548,-16368,-523,664,-1388,swipe_left,day2_me
1778672274937,-6812,1476,-16080,128,576,-744,swipe_left,day2_me
1778672274952,-6588,1092,-15896,1212,251,-266,swipe_left,day2_me
1778672274968,-6516,152,-15776,1884,-135,305,swipe_left,day2_me
1778672274983,-6668,-1384,-15468,1046,-177,1085,swipe_left,day2_me
1778672274998,-6720,-1532,-15688,318,-270,1410,swipe_left,day2_me
1778672275013,-6808,-1704,-15648,143,-100,1948,swipe_left,day2_me
1778672275013,-6900,-2192,-15764,-127,283,2342,swipe_left,day2_me
1778672275027,-6932,-2796,-16076,-1345,595,2949,swipe_left,day2_me
1778672275043,-6768,-2808,-16060,-1777,867,2885,swipe_left,day2_me
1778672275057,-6532,-2556,-15972,-1583,767,2813,swipe_left,day2_me
1778672275072,-6596,-2516,-16032,-780,562,2601,swipe_left,day2_me
1778672275103,-6552,-3048,-16112,625,282,2292,swipe_left,day2_me
1778672275103,-6580,-3224,-16048,928,245,2223,swipe_left,day2_me
1778672275103,-6596,-3484,-16132,919,495,1887,swipe_left,day2_me
1778672275162,-6512,-3472,-16096,594,693,1754,swipe_left,day2_me
1778672275163,-6360,-3112,-15856,-6,1188,1821,swipe_left,day2_me
1778672275163,-6216,-2976,-15596,-362,1502,1799,swipe_left,day2_me
1778672275163,-5960,-2820,-15588,-604,1687,1937,swipe_left,day2_me
1778672275164,-6008,-2624,-15464,-698,1485,1822,swipe_left,day2_me
