t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778751242805,-6300,208,-16892,-380,42,-455,swipe_right,day4_me
1778751242806,-6476,208,-16924,-24,22,-273,swipe_right,day4_me
1778751242806,-6552,-112,-16820,16,286,-190,swipe_right,day4_me
1778751242806,-6452,-408,-16808,60,601,-121,swipe_right,day4_me
1778751242807,-6316,-788,-16348,127,583,-253,swipe_right,day4_me
1778751242807,-6328,-932,-16356,123,574,-267,swipe_right,day4_me
1778751242808,-6352,-1064,-16340,15,555,-286,swipe_right,day4_me
1778751242925,-6472,-1004,-16472,-250,552,-213,swipe_right,day4_me
1778751242926,-6528,-1440,-16332,318,783,-228,swipe_right,day4_me
1778751242927,-6452,-1852,-16216,515,1008,-476,swipe_right,day4_me
1778751242927,-6348,-2368,-16064,598,1138,-621,swipe_right,day4_me
1778751242927,-6248,-2936,-15944,767,1076,-792,swipe_right,day4_me
1778751242984,-6348,-4380,-15636,686,931,-1018,swipe_right,day4_me
1778751242985,-6420,-5136,-15520,389,1213,-1404,swipe_right,day4_me
1778751242985,-6196,-5912,-15372,-298,1387,-2291,swipe_right,day4_me
1778751242986,-5932,-5888,-15184,-1305,1394,-3110,swipe_right,day4_me
1778751242986,-5496,-5532,-15212,-1793,998,-4116,swipe_right,day4_me
1778751242987,-5588,-5508,-15380,-1799,838,-4300,swipe_right,day4_me
1778751242987,-5616,-5780,-15424,-1556,1031,-4616,swipe_right,day4_me
1778751242988,-5544,-6364,-15412,-1163,1103,-4904,swipe_right,day4_me
1778751242988,-5044,-8632,-15008,-1423,1009,-6181,swipe_right,day4_me
1778751242989,-4756,-9072,-14948,-2578,683,-6933,swipe_right,day4_me
1778751242989,-4920,-9256,-15064,-3662,320,-8512,swipe_right,day4_me
1778751242990,-4952,-8796,-15300,-4786,87,-9610,swipe_right,day4_me
1778751242991,-5696,-6928,-15908,-4668,-52,-11157,swipe_right,day4_me
1778751247455,-5172,-1280,-16208,46,220,25,swipe_right,day4_me
1778751247470,-5220,-1260,-16176,-143,40,84,swipe_right,day4_me
1778751247484,-5260,-1148,-16276,-128,-19,120,swipe_right,day4_me
1778751247500,-5320,-1332,-16324,168,-157,105,swipe_right,day4_me
1778751247515,-5472,-1468,-16424,72,-80,68,swipe_right,day4_me
1778751247515,-5516,-1444,-16444,-93,-8,4,swipe_right,day4_me
1778751247531,-5468,-1352,-16408,-73,45,11,swipe_right,day4_me
1778751247544,-5348,-1300,-16316,39,41,-24,swipe_right,day4_me
1778751247559,-5268,-1400,-16112,98,95,-46,swipe_right,day4_me
1778751247574,-5256,-1336,-16220,125,63,-55,swipe_right,day4_me
1778751247574,-5148,-1384,-16168,11,-2,-34,swipe_right,day4_me
1778751247589,-5188,-1536,-16164,-58,-104,-48,swipe_right,day4_me
1778751247604,-5296,-1316,-16316,-174,-206,-48,swipe_right,day4_me
1778751247620,-5484,-1264,-16556,-179,-186,-49,swipe_right,day4_me
1778751247635,-5504,-1196,-16644,-62,-102,-98,swipe_right,day4_me
1778751247635,-5644,-1188,-16564,41,104,-156,swipe_right,day4_me
1778751247650,-5484,-1100,-16600,70,174,-164,swipe_right,day4_me
1778751247665,-5368,-1076,-16296,20,95,-158,swipe_right,day4_me
1778751247680,-5372,-948,-16372,41,85,-52,swipe_right,day4_me
1778751247695,-5388,-940,-16320,151,-1,19,swipe_right,day4_me
1778751247710,-5408,-952,-16348,190,6,15,swipe_right,day4_me
1778751247710,-5352,-948,-16284,99,33,58,swipe_right,day4_me
1778751247725,-5572,-800,-16452,149,-69,104,swipe_right,day4_me
1778751247740,-5748,-484,-16584,-6,1,154,swipe_right,day4_me
1778751247755,-5960,-172,-16516,9,130,337,swipe_right,day4_me
1778751247770,-6008,84,-16588,260,291,447,swipe_right,day4_me
1778751247770,-6072,160,-16484,462,370,484,swipe_right,day4_me
1778751247784,-6248,892,-16344,461,336,839,swipe_right,day4_me
1778751247800,-6444,1480,-16496,546,315,1047,swipe_right,day4_me
1778751247814,-6664,2236,-16692,672,450,1434,swipe_right,day4_me
1778751247829,-6908,2880,-16776,1103,792,1806,swipe_right,day4_me
1778751247830,-6960,3648,-17052,1432,1074,2029,swipe_right,day4_me
1778751247845,-7240,4780,-17292,2852,1365,3449,swipe_right,day4_me
1778751247860,-7660,4552,-17272,3302,1615,4167,swipe_right,day4_me
1778751247875,-7840,4528,-17612,2735,2103,4641,swipe_right,day4_me
1778751247890,-8092,5060,-17232,2213,2445,5871,swipe_right,day4_me
1778751247905,-8768,6016,-16856,3664,2314,8292,swipe_right,day4_me
1778751247907,-9316,5228,-16648,4558,2244,8839,swipe_right,day4_me
1778751247920,-9572,4452,-16512,4437,2734,9439,swipe_right,day4_me
1778751247935,-9428,4516,-16124,3501,3218,9966,swipe_right,day4_me
1778751247950,-8908,5380,-15488,3435,2912,11660,swipe_right,day4_me
1778751247965,-8900,5476,-15460,3835,2709,12504,swipe_right,day4_me
1778751247980,-9104,5404,-15272,3857,2590,13429,swipe_right,day4_me
1778751247980,-9176,5456,-15192,3898,2415,14370,swipe_right,day4_me
1778751247995,-9612,4968,-14684,4425,1998,16211,swipe_right,day4_me
1778751248010,-9792,4488,-14384,4473,1793,17157,swipe_right,day4_me
1778751248025,-10092,4124,-14292,4337,1567,18018,swipe_right,day4_me
1778751248040,-10104,3856,-14500,4050,1291,18766,swipe_right,day4_me
1778751248055,-10536,3608,-14244,4734,1284,20014,swipe_right,day4_me
1778751248075,-10424,3276,-14192,5388,1225,20418,swipe_right,day4_me
1778751248076,-10476,2684,-14116,5806,1073,20957,swipe_right,day4_me
1778751248085,-10652,2132,-13952,5925,601,21638,swipe_right,day4_me
1778751248099,-11084,1088,-14016,5721,169,22592,swipe_right,day4_me
1778751248115,-11284,568,-14260,5543,-18,23162,swipe_right,day4_me
1778751248129,-11496,348,-14496,4952,-72,23416,swipe_right,day4_me
1778751248130,-11388,612,-14704,4831,-107,23748,swipe_right,day4_me
1778751248144,-12012,-112,-14604,6568,-562,24082,swipe_right,day4_me
1778751248160,-12052,-724,-14700,6701,-648,24307,swipe_right,day4_me
1778751248175,-12220,-1124,-14496,6673,-1041,24438,swipe_right,day4_me
1778751248190,-11860,-1064,-14544,6977,-1682,25082,swipe_right,day4_me
1778751248205,-13068,-2328,-14676,6977,-382,24157,swipe_right,day4_me
1778751248218,-12576,-2732,-14928,6944,-192,23810,swipe_right,day4_me
1778751248223,-12012,-2836,-14224,6963,-115,24097,swipe_right,day4_me
1778751248234,-12036,-3284,-14396,6862,-158,24023,swipe_right,day4_me
1778751248250,-11988,-3380,-14124,8261,-147,23605,swipe_right,day4_me
1778751248265,-11708,-4560,-14140,8321,-144,23342,swipe_right,day4_me
1778751248279,-11600,-5360,-13940,7467,-185,23454,swipe_right,day4_me
1778751248280,-11436,-5748,-14352,6906,-417,23329,swipe_right,day4_me
1778751248295,-11232,-6344,-15176,6065,-233,22030,swipe_right,day4_me
1778751248310,-11024,-5632,-15248,5854,277,21446,swipe_right,day4_me
1778751248325,-10524,-5220,-15144,6914,746,21072,swipe_right,day4_me
1778751248340,-10124,-5804,-15116,7965,628,21133,swipe_right,day4_me
1778751248355,-9448,-8116,-14792,8579,487,20260,swipe_right,day4_me
1778751248369,-9096,-8908,-14600,7872,1072,19054,swipe_right,day4_me
1778751248377,-8184,-8936,-14248,7141,1498,17896,swipe_right,day4_me
1778751248384,-7448,-9176,-14212,6792,1175,17369,swipe_right,day4_me
1778751248400,-7188,-9992,-14612,5664,23,15687,swipe_right,day4_me
1778751248414,-7328,-10096,-15116,4837,179,14356,swipe_right,day4_me
1778751248430,-6936,-9816,-15216,4362,479,13335,swipe_right,day4_me
1778751248445,-6564,-9616,-15236,4297,467,12336,swipe_right,day4_me
1778751248445,-5976,-9916,-15352,3716,504,10408,swipe_right,day4_me
1778751248460,-5580,-9764,-15288,3298,408,9492,swipe_right,day4_me
1778751248475,-5296,-9760,-15464,2874,8,8636,swipe_right,day4_me
1778751248490,-5408,-9628,-15504,2415,-102,7566,swipe_right,day4_me
1778751248530,-5436,-8780,-15748,1648,-52,6007,swipe_right,day4_me
1778751248537,-5444,-8456,-15836,971,11,5152,swipe_right,day4_me
1778751248537,-5432,-7696,-15920,513,138,4521,swipe_right,day4_me
1778751248537,-5308,-7112,-15928,449,95,3917,swipe_right,day4_me
1778751248550,-5172,-6376,-16084,511,293,2763,swipe_right,day4_me
1778751248564,-5024,-6304,-15980,367,238,2186,swipe_right,day4_me
1778751248565,-4980,-5928,-15976,12,62,1826,swipe_right,day4_me
1778751248579,-5056,-5488,-15924,-479,-191,1457,swipe_right,day4_me
1778751248594,-5524,-4432,-15996,-712,-179,652,swipe_right,day4_me
1778751248610,-5548,-3928,-16100,-651,17,283,swipe_right,day4_me
1778751248625,-5344,-3528,-16032,-647,74,-16,swipe_right,day4_me
1778751248640,-5076,-3168,-16008,-563,-25,-235,swipe_right,day4_me
