t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778654948381,16320,-252,-4996,52,-11456,-1903,swipe_up,day1_me
1778654948381,14136,-180,-6504,-1150,-12482,-1544,swipe_up,day1_me
1778654948411,13072,1256,-9048,-1689,-11001,-1310,swipe_up,day1_me
1778654948411,10452,2664,-11616,635,-5514,-1002,swipe_up,day1_me
1778654948411,13852,812,-9984,1838,-1741,715,swipe_up,day1_me
1778654948425,14112,-800,-9124,450,-2577,388,swipe_up,day1_me
1778654948440,14128,-900,-8696,-382,-2915,-936,swipe_up,day1_me
1778654948456,14996,-924,-7792,-1682,-4716,-1636,swipe_up,day1_me
1778654948591,17380,-944,-5176,-4412,-15500,-3462,swipe_up,day1_me
1778654948592,18060,-308,-4268,-5365,-25616,-5578,swipe_up,day1_me
1778654948592,13604,1996,-8224,-3926,-28688,-7457,swipe_up,day1_me
1778654948593,6800,4236,-13340,-1606,-18703,-4412,swipe_up,day1_me
1778654948593,8184,5928,-15328,5846,-4036,1099,swipe_up,day1_me
1778654948593,9548,2840,-13452,6454,1302,3730,swipe_up,day1_me
1778654948593,13788,44,-11800,4942,-964,3801,swipe_up,day1_me
1778654948594,13352,-1164,-10312,4248,-2855,1995,swipe_up,day1_me
1778654948594,14332,-1396,-8288,586,-5016,-317,swipe_up,day1_me
1778654948595,15328,-1076,-7348,-1087,-8765,-1429,swipe_up,day1_me
1778654953004,-3444,2096,-17296,13,538,-79,swipe_up,day1_me
1778654953007,-3284,2268,-17240,-29,68,-11,swipe_up,day1_me
1778654953016,-3476,2380,-17080,-173,29,-60,swipe_up,day1_me
1778654953016,-3476,2504,-17080,-276,-177,-50,swipe_up,day1_me
1778654953030,-3608,2548,-17200,-106,-213,-59,swipe_up,day1_me
1778654953045,-3768,2584,-17256,-51,136,-45,swipe_up,day1_me
1778654953060,-3620,2332,-17000,20,292,-144,swipe_up,day1_me
1778654953075,-3416,2408,-16940,-147,25,-176,swipe_up,day1_me
1778654953076,-3528,2608,-16972,-216,-115,-65,swipe_up,day1_me
1778654953091,-3464,2856,-16980,97,41,177,swipe_up,day1_me
1778654953105,-3428,2424,-16704,379,503,231,swipe_up,day1_me
1778654953120,-3260,2228,-16548,-74,260,332,swipe_up,day1_me
1778654953135,-3296,2348,-16740,-184,93,281,swipe_up,day1_me
1778654953151,-3528,2384,-16776,-3,97,152,swipe_up,day1_me
1778654953151,-3624,2212,-17076,225,-127,-203,swipe_up,day1_me
1778654953166,-3648,2136,-17024,56,-101,-327,swipe_up,day1_me
1778654953180,-3632,2444,-17216,-225,-10,-202,swipe_up,day1_me
1778654953196,-3440,2616,-17112,-91,-70,51,swipe_up,day1_me
1778654953211,-3536,2632,-17280,-330,57,228,swipe_up,day1_me
1778654953226,-3596,2696,-17040,-94,227,275,swipe_up,day1_me
1778654953226,-3612,2492,-17100,39,371,158,swipe_up,day1_me
